"","Old.MSA","New.MSA"
"1","Abilene, TX","Abilene, TX"
"2","Akron, OH","Akron, OH"
"3","Albany-Schenectady-Troy, NY","Albany-Schenectady-Troy, NY"
"4","Albany, GA","Albany, GA"
"5","Albuquerque, NM","Albuquerque, NM"
"6","Alexandria, LA","Alexandria, LA"
"7","Allentown-Bethlehem-Easton, PA-NJ","Allentown-Bethlehem-Easton, PA-NJ"
"8","Altoona, PA","Altoona, PA"
"9","Amarillo, TX","Amarillo, TX"
"10","Ames, IA","Ames, IA"
"11","Anchorage, AK","Anchorage, AK"
"12","Anderson, IN",""
"13","Anderson, SC",""
"14","Ann Arbor, MI","Ann Arbor, MI"
"15","Anniston-Oxford, AL","Anniston-Oxford-Jacksonville, AL"
"16","Appleton, WI","Appleton, WI"
"17","Asheville, NC","Asheville, NC"
"18","Athens-Clarke County, GA","Athens-Clarke County, GA"
"19","Atlanta-Sandy Springs-Marietta, GA","Atlanta-Sandy Springs-Roswell, GA"
"20","Atlantic City, NJ","Atlantic City-Hammonton, NJ"
"21","Auburn-Opelika, AL","Auburn-Opelika, AL"
"22","Augusta-Richmond County, GA-SC","Augusta-Richmond County, GA-SC"
"23","Austin-Round Rock, TX","Austin-Round Rock, TX"
"24","Bakersfield, CA","Bakersfield, CA"
"25","Baltimore-Towson, MD","Baltimore-Columbia-Towson, MD"
"26","Bangor, ME","Bangor, ME"
"27","Barnstable Town, MA","Barnstable Town, MA"
"28","Baton Rouge, LA","Baton Rouge, LA"
"29","Battle Creek, MI","Battle Creek, MI"
"30","Bay City, MI","Bay City, MI"
"31","Beaumont-Port Arthur, TX","Beaumont-Port Arthur, TX"
"32","Bellingham, WA","Bellingham, WA"
"33","Bend, OR","Bend-Redmond, OR"
"34","Billings, MT","Billings, MT"
"35","Binghamton, NY","Binghamton, NY"
"36","Birmingham-Hoover, AL","Birmingham-Hoover, AL"
"37","Bismarck, ND","Bismarck, ND"
"38","Blacksburg-Christiansburg-Radford, VA","Blacksburg-Christiansburg-Radford, VA"
"39","Bloomington-Normal, IL","Bloomington, IL"
"40","Bloomington, IN","Bloomington, IN"
"41","Boise City-Nampa, ID","Boise City, ID"
"42","Boston-Cambridge-Quincy, MA-NH","Boston-Cambridge-Newton, MA-NH"
"43","Boulder, CO","Boulder, CO"
"44","Bowling Green, KY","Bowling Green, KY"
"45","Bremerton-Silverdale, WA","Bremerton-Silverdale, WA"
